2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | PATENT DATA PIPELINE — STARTUP
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Timestamp   : 2026-05-08 07:26:08
2026-05-08 07:26:08 | INFO     | OS          : Windows 11 (10.0.22631)
2026-05-08 07:26:08 | INFO     | Machine     : AMD64
2026-05-08 07:26:08 | INFO     | CPU         : Intel64 Family 6 Model 78 Stepping 3, GenuineIntel
2026-05-08 07:26:08 | INFO     | CPU Cores   : 2 physical / 4 logical
2026-05-08 07:26:08 | INFO     | Total RAM   : 25.64 GB
2026-05-08 07:26:08 | INFO     | Available   : 15.19 GB
2026-05-08 07:26:08 | INFO     | Python      : 3.13.7
2026-05-08 07:26:08 | INFO     | ========================================================================
2026-05-08 07:26:08 | INFO     | Connecting to: localhost:5111/patents
2026-05-08 07:26:08 | INFO     | Database connection established
2026-05-08 07:26:08 | INFO     | Applying schema.sql ...
2026-05-08 07:26:11 | INFO     |   ✓ schema.sql applied — all tables dropped and recreated

2026-05-08 07:26:11 | INFO     | [1/4] Reading clean_patents.csv ...
2026-05-08 07:30:09 | INFO     |       Read 9,454,161 rows | columns: ['patent_id', 'title', 'abstract', 'filing_date', 'year']
2026-05-08 07:37:16 | INFO     |     [patents] chunk   64/946 | rows   630,001–  640,000 |  7.28s | CPU  12.5% | RAM  58.1%
2026-05-08 07:37:23 | INFO     |     [patents] chunk   65/946 | rows   640,001–  650,000 |  6.64s | CPU   0.0% | RAM  58.5%
2026-05-08 07:37:30 | INFO     |     [patents] chunk   66/946 | rows   650,001–  660,000 |  6.88s | CPU   0.0% | RAM  58.6%
2026-05-08 07:37:37 | INFO     |     [patents] chunk   67/946 | rows   660,001–  670,000 |  6.94s | CPU   0.0% | RAM  58.6%
2026-05-08 07:37:43 | INFO     |     [patents] chunk   68/946 | rows   670,001–  680,000 |  6.02s | CPU   0.0% | RAM  58.3%
2026-05-08 07:37:50 | INFO     |     [patents] chunk   69/946 | rows   680,001–  690,000 |  6.48s | CPU   0.0% | RAM  58.4%
2026-05-08 07:37:56 | INFO     |     [patents] chunk   70/946 | rows   690,001–  700,000 |  6.48s | CPU   0.0% | RAM  58.3%
2026-05-08 07:38:02 | INFO     |     [patents] chunk   71/946 | rows   700,001–  710,000 |  6.15s | CPU   0.0% | RAM  58.3%
2026-05-08 07:38:09 | INFO     |     [patents] chunk   72/946 | rows   710,001–  720,000 |  6.22s | CPU   0.0% | RAM  58.4%
2026-05-08 07:38:15 | INFO     |     [patents] chunk   73/946 | rows   720,001–  730,000 |  6.26s | CPU   0.0% | RAM  58.4%
2026-05-08 07:38:21 | INFO     |     [patents] chunk   74/946 | rows   730,001–  740,000 |  6.26s | CPU   0.0% | RAM  58.3%
2026-05-08 07:38:28 | INFO     |     [patents] chunk   75/946 | rows   740,001–  750,000 |  6.61s | CPU   0.0% | RAM  58.0%
2026-05-08 07:38:34 | INFO     |     [patents] chunk   76/946 | rows   750,001–  760,000 |  6.55s | CPU   6.7% | RAM  58.1%
2026-05-08 07:38:41 | INFO     |     [patents] chunk   77/946 | rows   760,001–  770,000 |  6.12s | CPU   0.0% | RAM  58.1%
2026-05-08 07:38:49 | INFO     |     [patents] chunk   78/946 | rows   770,001–  780,000 |  7.88s | CPU   0.0% | RAM  58.5%
2026-05-08 07:38:55 | INFO     |     [patents] chunk   79/946 | rows   780,001–  790,000 |  6.35s | CPU   7.1% | RAM  58.5%
2026-05-08 07:39:02 | INFO     |     [patents] chunk   80/946 | rows   790,001–  800,000 |  6.73s | CPU   0.0% | RAM  58.7%
2026-05-08 07:39:08 | INFO     |     [patents] chunk   81/946 | rows   800,001–  810,000 |  6.49s | CPU   0.0% | RAM  58.9%
2026-05-08 07:39:15 | INFO     |     [patents] chunk   82/946 | rows   810,001–  820,000 |  6.40s | CPU  14.3% | RAM  59.1%
2026-05-08 07:39:22 | INFO     |     [patents] chunk   83/946 | rows   820,001–  830,000 |  6.65s | CPU   0.0% | RAM  59.1%
2026-05-08 07:39:28 | INFO     |     [patents] chunk   84/946 | rows   830,001–  840,000 |  6.61s | CPU   0.0% | RAM  59.3%
2026-05-08 07:39:35 | INFO     |     [patents] chunk   85/946 | rows   840,001–  850,000 |  6.60s | CPU   0.0% | RAM  59.3%
2026-05-08 07:39:41 | INFO     |     [patents] chunk   86/946 | rows   850,001–  860,000 |  6.16s | CPU   0.0% | RAM  59.5%
2026-05-08 07:39:48 | INFO     |     [patents] chunk   87/946 | rows   860,001–  870,000 |  6.68s | CPU  18.2% | RAM  59.6%
2026-05-08 07:39:54 | INFO     |     [patents] chunk   88/946 | rows   870,001–  880,000 |  6.43s | CPU   0.0% | RAM  59.6%
2026-05-08 07:40:01 | INFO     |     [patents] chunk   89/946 | rows   880,001–  890,000 |  6.72s | CPU   0.0% | RAM  59.7%
2026-05-08 07:40:08 | INFO     |     [patents] chunk   90/946 | rows   890,001–  900,000 |  7.32s | CPU   0.0% | RAM  58.8%
2026-05-08 07:40:15 | INFO     |     [patents] chunk   91/946 | rows   900,001–  910,000 |  6.60s | CPU  16.7% | RAM  58.8%
2026-05-08 07:40:22 | INFO     |     [patents] chunk   92/946 | rows   910,001–  920,000 |  6.75s | CPU   0.0% | RAM  58.8%
2026-05-08 07:40:28 | INFO     |     [patents] chunk   93/946 | rows   920,001–  930,000 |  6.18s | CPU   0.0% | RAM  58.8%
2026-05-08 07:40:35 | INFO     |     [patents] chunk   94/946 | rows   930,001–  940,000 |  6.32s | CPU   0.0% | RAM  58.9%
2026-05-08 07:40:41 | INFO     |     [patents] chunk   95/946 | rows   940,001–  950,000 |  6.51s | CPU   0.0% | RAM  58.8%
2026-05-08 07:40:48 | INFO     |     [patents] chunk   96/946 | rows   950,001–  960,000 |  6.47s | CPU   0.0% | RAM  58.9%
2026-05-08 07:40:54 | INFO     |     [patents] chunk   97/946 | rows   960,001–  970,000 |  6.39s | CPU   0.0% | RAM  58.9%
2026-05-08 07:41:00 | INFO     |     [patents] chunk   98/946 | rows   970,001–  980,000 |  6.33s | CPU   0.0% | RAM  59.0%
2026-05-08 07:41:07 | INFO     |     [patents] chunk   99/946 | rows   980,001–  990,000 |  6.44s | CPU   8.3% | RAM  59.0%
2026-05-08 07:41:13 | INFO     |     [patents] chunk  100/946 | rows   990,001–1,000,000 |  6.21s | CPU  11.8% | RAM  59.0%
2026-05-08 07:41:20 | INFO     |     [patents] chunk  101/946 | rows 1,000,001–1,010,000 |  6.64s | CPU   0.0% | RAM  59.0%
2026-05-08 07:41:26 | INFO     |     [patents] chunk  102/946 | rows 1,010,001–1,020,000 |  6.27s | CPU   0.0% | RAM  59.4%
2026-05-08 07:41:33 | INFO     |     [patents] chunk  103/946 | rows 1,020,001–1,030,000 |  6.45s | CPU   0.0% | RAM  59.4%
2026-05-08 07:41:40 | INFO     |     [patents] chunk  104/946 | rows 1,030,001–1,040,000 |  7.18s | CPU   0.0% | RAM  59.1%
2026-05-08 07:41:47 | INFO     |     [patents] chunk  105/946 | rows 1,040,001–1,050,000 |  6.69s | CPU   0.0% | RAM  59.1%
2026-05-08 07:41:53 | INFO     |     [patents] chunk  106/946 | rows 1,050,001–1,060,000 |  6.57s | CPU   8.3% | RAM  58.9%
2026-05-08 07:42:00 | INFO     |     [patents] chunk  107/946 | rows 1,060,001–1,070,000 |  6.59s | CPU   0.0% | RAM  58.9%
2026-05-08 07:42:07 | INFO     |     [patents] chunk  108/946 | rows 1,070,001–1,080,000 |  6.45s | CPU   0.0% | RAM  59.0%
2026-05-08 07:42:13 | INFO     |     [patents] chunk  109/946 | rows 1,080,001–1,090,000 |  6.31s | CPU   0.0% | RAM  59.0%
2026-05-08 07:42:20 | INFO     |     [patents] chunk  110/946 | rows 1,090,001–1,100,000 |  6.58s | CPU  21.4% | RAM  59.4%
2026-05-08 07:42:26 | INFO     |     [patents] chunk  111/946 | rows 1,100,001–1,110,000 |  6.71s | CPU   0.0% | RAM  59.6%
2026-05-08 07:42:33 | INFO     |     [patents] chunk  112/946 | rows 1,110,001–1,120,000 |  6.60s | CPU   0.0% | RAM  59.6%
2026-05-08 07:42:39 | INFO     |     [patents] chunk  113/946 | rows 1,120,001–1,130,000 |  6.33s | CPU   0.0% | RAM  59.7%
2026-05-08 07:42:46 | INFO     |     [patents] chunk  114/946 | rows 1,130,001–1,140,000 |  6.59s | CPU  12.5% | RAM  60.0%
2026-05-08 07:42:53 | INFO     |     [patents] chunk  115/946 | rows 1,140,001–1,150,000 |  6.65s | CPU   0.0% | RAM  60.2%
2026-05-08 07:43:00 | INFO     |     [patents] chunk  116/946 | rows 1,150,001–1,160,000 |  6.67s | CPU  11.8% | RAM  59.7%
2026-05-08 07:43:06 | INFO     |     [patents] chunk  117/946 | rows 1,160,001–1,170,000 |  6.66s | CPU   0.0% | RAM  59.3%
2026-05-08 07:43:13 | INFO     |     [patents] chunk  118/946 | rows 1,170,001–1,180,000 |  6.94s | CPU   0.0% | RAM  59.4%
2026-05-08 07:43:20 | INFO     |     [patents] chunk  119/946 | rows 1,180,001–1,190,000 |  6.81s | CPU   0.0% | RAM  59.3%
2026-05-08 07:43:27 | INFO     |     [patents] chunk  120/946 | rows 1,190,001–1,200,000 |  6.55s | CPU   0.0% | RAM  59.4%
2026-05-08 07:43:33 | INFO     |     [patents] chunk  121/946 | rows 1,200,001–1,210,000 |  6.65s | CPU   0.0% | RAM  59.5%
2026-05-08 07:43:40 | INFO     |     [patents] chunk  122/946 | rows 1,210,001–1,220,000 |  6.87s | CPU   9.1% | RAM  59.7%
2026-05-08 07:43:49 | INFO     |     [patents] chunk  123/946 | rows 1,220,001–1,230,000 |  8.32s | CPU  38.5% | RAM  59.4%
